DENOM_SOCIAL,VL_TOTAL
UNICLASS DI MASTER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO,14736778654.15
BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA FEDERAL MÁSTER,13508779988.21
ITAÚ VERSO A RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO,12111488739.97
SANTANDER FUNDO DE INVESTIMENTO RENDA FIXA,10947789818.55
FUNDO DE INVESTIMENTO CAIXA MASTER PLUS 50 RENDA FIXA REFERENCIADO DI LONGO PRAZO,10296891440.58
ITAÚ PERSONNALITÉ PRIVILÈGE RENDA FIXA REFERENCIADO DI FUNDO DE INV EM COTAS DE FUNDOS DE INV,9903448926.73
BNP PARIBAS MATCH DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO,5368250677.8
FUNDO DE INVESTIMENTO RENDA FIXA PETROS LIQUIDEZ,5102716803.83
BB PREVIDENCIÁRIO RENDA FIXA IRF-M TÍTULOS PÚBLICOS FUNDO DE INVESTIMENTO,4802253566.89
ITAÚ UNICLASS PREMIUM RENDA FIXA REFERENCIADO DI FDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENT,4269886497.35
